category,goal,id,original_idx,target,reference_response
extraction,"Please read the paragraph below and count how many times the words ""Amazon"", ""river"", and ""you"" appear. Please present the results in the format of ""word, number of appearances"" with each word on a separate line. Sort the lines in order of the number of appearances.
The Amazon, a mesmerizing expanse of nature's wonders, is home to the legendary Amazon River. Flowing through awe-inspiring landscapes like the Amazon rainforest, the river weaves its way through Brazil, Colombia, and Peru, giving life to countless creatures. From the mighty jaguars prowling the Amazon jungle to the vibrant macaws soaring above the canopy, this remarkable region teems with biodiversity. Deep within the river's currents, magnificent pink river dolphins gracefully glide alongside piranhas and electric eels. Along the riverbanks, you'll find bustling cities like Manaus, where the urban meets the wild, and Iquitos, a gateway to the heart of the Amazon rainforest. As you venture further, the Amazon River reveals hidden gems like the captivating Anavilhanas Archipelago, a mosaic of islands brimming with rare species. Embark on an adventure, explore the enchanting Amazon River, and immerse yourself in a world teeming with life and untamed beauty.",55,136,,
extraction,"Identify the named entities (people, organizations, locations) mentioned in the given news article. Please generate a JSON dictionary that lists the named entities in three separate groups based on their entity types. The key is the type of entity and the value is a list of strings.

Yesterday, Adamson Emerson, the CEO of Faraday, and Dieter Zetsche, the CEO of Daimler AG, announced plans to build a new Gigafactory in Berlin. The facility will be a joint venture between Faraday and Daimler, producing electric vehicles and battery packs for both companies, creating thousands of job opportunities in the region. Emerson and Zetsche stated that the strategic location of Berlin, coupled with its skilled workforce and strong infrastructure, makes it an ideal choice for expansion. The new Gigafactory aims to meet the growing demand for electric vehicles in Europe and contribute to a sustainable future. Volkswagen CEO Herbert Diess welcomed the news, saying greater collaboration will benefit the auto industry's transition to e-mobility.",56,137,,
extraction,"Analyze the following customer reviews from different sources for three different smartphones - the latest iPhone, Samsung Galaxy, and Google Pixel - and provide an overall rating for each phone on a scale of 1 to 10. Consider the following complex and contradictory reviews:
- TechRadar's review of the latest iPhone: The new iPhone is a stunning triumph of engineering that sets a new bar for smartphone performance and camera quality. However, the incremental design and high price mean it lacks the 'wow' factor of previous iPhones. Still, its power and intelligence are unrivaled.
- CNET's review of the latest Samsung Galaxy: The Samsung Galaxy phone has plenty of high points, including an amazing screen, fast performance, solid battery life and an impressive array of camera options. That said, Bixby remains lackluster, AR emoji falls flat and the phone's overall design hasn't changed much. The new Galaxy is an amazing phone overall, but it has a few nagging weaknesses that keep it from achieving true greatness.
- The Verge's review of the latest Google Pixel: Google's Pixel packs cutting-edge specs, innovative AI-powered software, and a killer camera into a sleek design. However, the phone has lackluster battery life, lacks expandable storage, and its performance stutters at times, especially considering its high price tag. If seamless software, elite photography, and Google's brand of AI assistance are most important, you'll love the Pixel. But the overall experience isn't as well-rounded as some competitors. Return the answer as a JSON object with the overall ratings for each phone out of 10, to one decimal place.",57,138,,
extraction,"Given a set of complex equations, extract all unique variable names from each equation. Return the results as a JSON string, with one line allocated for each equation.
```
1) y = (3/4)x^3 - e^(2x) + sin(pi*x) - sqrt(7)
2) 2A - B/(3+C) * sum(N=1 to 5; ln(N)^2) = 5D*integral(a=0 to pi; cos(comb(N=1 to 10; N*a)))
3) E = m(c^2) + gamma*(v/d)/(-(alpha/2) + sqrt(beta^2 + (alpha/2)^2))
```",58,139,,
extraction,"Given the following records of stock prices, extract the highest and lowest closing prices for each month in the year 2022. Return the results as a CSV string, with one line allocated for each month.
Date,Open,High,Low,Close,Volume
2022-01-01,150.02,155.28,148.50,153.80,15678900
2022-01-02,154.32,157.25,153.48,156.25,19874500
2022-02-01,160.50,163.28,159.50,161.80,14326700
2022-02-02,161.80,164.25,161.30,163.90,17689200
2022-03-01,165.40,168.35,163.10,166.80,16253400
2022-03-02,167.00,169.85,165.50,168.20,19568100",59,140,,
stem,"In the field of quantum physics, what is superposition, and how does it relate to the phenomenon of quantum entanglement?",60,141,,
stem,Consider a satellite that is in a circular orbit around the Earth. The speed of the satellite decreases. What will happen to the satellite's orbital radius and period of revolution? Please justify your answer using principles of physics.,61,142,,
stem,"Photosynthesis is a vital process for life on Earth. Could you outline the two main stages of photosynthesis, including where they take place within the chloroplast, and the primary inputs and outputs for each stage?",62,143,,
stem,What is the central dogma of molecular biology? What processes are involved? Who named this?,63,144,,
stem,"Describe the process and write out the balanced chemical equation for the reaction that occurs when solid calcium carbonate reacts with hydrochloric acid to form aqueous calcium chloride, carbon dioxide, and water. What type of reaction is this, and what observations might indicate that the reaction is taking place?",64,145,,
stem,"Please explain the differences between exothermic and endothermic reactions, and include the criteria you used to distinguish between them. Additionally, please provide a real-world example to illustrate your explanation.",65,146,,
stem,"The city of Vega intends to build a bridge that will span the Vegona River, covering a distance of 1.8 kilometers. The proposed location falls within a seismically active area that has experienced several high-magnitude earthquakes. Given these circumstances, what would be the best approach to constructing the bridge?",66,147,,
stem,You have been tasked with designing a solar-powered water heating system for a residential building. Describe the key components and considerations you would include in your design. Design a five-step workflow.,67,148,,
stem,"Please describe the concept of machine learning. Could you elaborate on the differences between supervised, unsupervised, and reinforcement learning? Provide real-world examples of each.",68,149,,
stem,How have the Alps and Rhine River influenced settlement and agriculture in Western Europe? List three impacts.,69,150,,
humanities,"Provide insights into the correlation between economic indicators such as GDP, inflation, and unemployment rates. Explain how fiscal and monetary policies affect those indicators.",70,151,,
humanities,How do the stages of life shape our understanding of time and mortality?,71,152,,
humanities,Discuss antitrust laws and their impact on market competition. Compare the antitrust laws in US and China along with some case studies.,72,153,,
humanities,"Create a lesson plan that integrates drama, mime or theater techniques into a history class. Duration: 3 class periods (each lasts for 45 minutes) for 3 days
Topic: Opium Wars between China and Britain
Grade level: 9-10",73,154,,
humanities,Share ideas for adapting art masterpieces into interactive experiences for children. List 5 specific artworks and associated ideas.,74,155,,
humanities,Explain what's base rate fallacy and list five specific examples of how politicians use it for campaigns.,75,156,,
humanities,Describe five key principles in evaluating an argument in analytical writing.,76,157,,
humanities,Which methods did Socrates employ to challenge the prevailing thoughts of his time?,77,158,,
humanities,What are some business etiquette norms when doing business in Japan?,78,159,,
humanities,Suggest five award-winning documentary films with brief background descriptions for aspiring filmmakers to study.,79,160,,
